Fornecedor,Mês,Data,Cliente,Pedido,NFE,Valor,Tabela,Situação,Valor_Num
COMISSÃO LUINE,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
COMISSÃO LUINE,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
COMISSÃO LUINE,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
COMISSÃO LUINE,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
COMISSÃO LUINE,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
COMISSÃO LUINE,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
COMISSÃO LUINE,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
COMISSÃO LUINE,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
COMISSÃO LUINE,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
RENATA  GLE,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
RENATA  GLE,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
RENATA  GLE,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
RENATA  GLE,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
RENATA  GLE,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
RENATA  GLE,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
RENATA  GLE,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
RENATA  GLE,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
RENATA  GLE,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
PHASE,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
PHASE,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
PHASE,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
PHASE,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
PHASE,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
PHASE,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
PHASE,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
PHASE,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
PHASE,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
ELO,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
ELO,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
ELO,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
ELO,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
ELO,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
ELO,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
ELO,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
ELO,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
ELO,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
ALMEGA,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
ALMEGA,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
ALMEGA,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
ALMEGA,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
ALMEGA,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
ALMEGA,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
ALMEGA,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
ALMEGA,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
ALMEGA,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
VENKY,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
VENKY,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
VENKY,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
VENKY,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
VENKY,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
VENKY,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
VENKY,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
VENKY,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
VENKY,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
ELITE,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
ELITE,JUNHO,2025-06-05,EMBALEME,250604123701560,1447,4110.14,2,FATURADO,4110.14
ELITE,JUNHO,2025-06-11,DECAZZA COMERCIAL,3062,nan,7548.0,2,PAGO,7548.0
ELITE,JUNHO,2025-06-05,CELL SOLLUTION,250605154601006,104,13749.56,2,PAGO,13749.56
ELITE,JUNHO,2025-06-05,CELL SOLLUTION,250605154107945,1465,6256.2,2,PAGO,6256.2
ELITE,JUNHO,2025-06-24,COMERCIAL MARTINS E MARTINS,250624104438099,1471,16124.42,2,FATURADO,16124.42
ELITE,JULHO,2025-07-08,DECAZZA COM,250708135238581,187,10891.96,2,FATURADO,10891.96
ELITE,JULHO,2025-07-14,DECAZZA COM,3508,218,71547.78,2,FATURADO,71547.78
ELITE,JULHO,2025-07-23,DECAZZA COM,250723143208488,266,46645.2,2,FATURADO,46645.2
EMPORIUM E IMPACTO,JUNHO,2025-06-03,DECAZZA COM,250602172053470,1441,755.44,2,PAGO,755.44
